[16:45:51] [INFO] received Windows console close event; shutting log-core down
[16:46:46] [INFO] received Windows console close event; shutting log-core down
[16:48:29] [INFO] received Windows console close event; shutting log-core down
[16:57:11] [INFO] received Windows console close event; shutting log-core down
[16:57:41] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[16:58:07] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:03:06] [INFO] received Windows console close event; shutting log-core down
[17:04:20] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:05:49] [INFO] received Windows console close event; shutting log-core down
[17:10:35] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[18:59:07] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[19:00:29] [INFO] received Windows console close event; shutting log-core down
[19:01:06] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[19:02:06] [ERROR] exception 0X80000003 (BREAKPOINT) from Vectored Exception Handler catched; shutting log-core down
[19:05:13] [INFO] received Windows console close event; shutting log-core down
[19:05:37] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[19:10:55] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[19:14:40] [INFO] received Windows console close event; shutting log-core down
[19:15:44] [INFO] received Windows console close event; shutting log-core down
[19:15:59] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[19:31:45] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[19:43:47] [INFO] received Windows console close event; shutting log-core down
[19:44:41] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[19:47:22] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[20:00:36] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[20:08:43] [INFO] received Windows console close event; shutting log-core down
[20:09:07] [INFO] received Windows console close event; shutting log-core down
[20:09:32] [INFO] received Windows console close event; shutting log-core down
[20:10:27] [INFO] received Windows console close event; shutting log-core down
[20:11:31] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[20:13:28] [INFO] received Windows console close event; shutting log-core down
[20:13:46] [INFO] received Windows console close event; shutting log-core down
[20:14:18] [INFO] received Windows console close event; shutting log-core down
[20:14:19] [INFO] received Windows console close event; shutting log-core down
[20:14:25] [INFO] received Windows console close event; shutting log-core down
[20:14:45] [INFO] received Windows console close event; shutting log-core down
[20:16:34] [INFO] received Windows console close event; shutting log-core down
[20:17:37] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[20:18:52] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[20:20:36] [INFO] received Windows console close event; shutting log-core down
[20:21:40] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[20:26:05] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[20:27:19] [INFO] received Windows console close event; shutting log-core down
[20:38:21] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[21:38:45] [INFO] received Windows console close event; shutting log-core down
